Word,Categorization
angry,complaining
frustrated,complaining
upset,complaining
annoyed,complaining
disappointed,complaining
irritated,complaining
distressed,complaining
miserable,complaining
miffed,complaining
grouchy,complaining
exasperated,complaining
disgruntled,complaining
displeased,complaining
sad,complaining
complaint,complaining
whine,complaining
grumble,complaining
gripe,complaining
whinge,complaining
sulky,complaining
bitch,complaining
Escalation,complaining
Complaint,complaining
learner,beginner
newbie,beginner
amateur,beginner
rookie,beginner
greenhorn,beginner
fresher,beginner
starter,beginner
tenderfoot,beginner
neophyte,beginner
trainee,beginner
apprentice,beginner
tyro,beginner
initiate,beginner
newcomer,beginner
entrant,beginner
n00b,beginner
noob,beginner
noobie,beginner
fledgling,beginner
budding,beginner
infant,beginner
incipient,beginner
prospect,beginner
I'm really angry about this.,complaining
I'm frustrated with your service.,complaining
I'm upset with the delay.,complaining
This product disappointed me.,complaining
I'm a beginner in this field.,beginner
I'm just a novice at this.,beginner
I'm completely new to this.,beginner
I'm still learning.,beginner
I'm not very experienced.,beginner
I'm feeling overwhelmed.,beginner
I'm struggling with this.,beginner
I'm finding this difficult.,beginner
I'm not sure what to do.,beginner
I'm feeling lost.,beginner
I'm having a hard time understanding.,beginner
I'm confused about this.,beginner
I'm not sure how to proceed.,beginner
I'm feeling out of my depth.,beginner
I'm feeling like I don't belong here.,beginner
I'm feeling like I'm in over my head.,beginner
I'm feeling intimidated.,beginner
I'm feeling out of place.,beginner
I'm feeling like I'm in way over my head.,beginner
I'm feeling like I'm in too deep.,beginner
I'm feeling like I don't fit in.,beginner
I'm feeling like I'm out of my league.,beginner
I'm feeling like I'm out of my depth.,beginner
I'm feeling like I'm in over my head.,beginner
I'm feeling like I'm in too deep.,beginner
I'm feeling like I don't belong.,beginner
I'm feeling like I'm out of place.,beginner
I'm feeling like I'm not good enough.,beginner
I'm feeling like I'm not capable.,beginner
I'm feeling like I'm not up to the task.,beginner
I'm feeling like I'm not cut out for this.,beginner
I'm feeling like I'm not qualified.,beginner
I'm feeling like I'm not competent.,beginner
I'm feeling like I'm not skilled enough.,beginner
I'm feeling like I'm not experienced enough.,beginner
I'm feeling like I'm not knowledgeable enough.,beginner
I'm feeling like I'm not prepared enough.,beginner
I'm feeling like I'm not confident enough.,beginner
I'm feeling like I'm not capable enough.,beginner
I'm feeling like I'm not equipped enough.,beginner
I'm feeling like I'm not qualified enough.,beginner
I'm feeling like I'm not competent enough.,beginner
I'm feeling like I'm not skilled enough.,beginner
I'm feeling like I'm not experienced enough.,beginner
I'm feeling like I'm not knowledgeable enough.,beginner
I'm feeling like I'm not prepared enough.,beginner
